,CAMIS,DBA,PHONE,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,target
47,40364439,SEVILLA RESTAURANT,2129293189,MANHATTAN,62,CHARLES STREET,10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
48,40364443,CRIMINAL COURT BLDG CAFETERIA,2129621037,MANHATTAN,100,CENTRE STREET,10013,American,1
49,40364449,GOTTSCHEER HALL,7183663030,QUEENS,657,FAIRVIEW AVENUE,11385,German,1
50,40364467,NYAC MAIN DINING ROOM,2127677000,MANHATTAN,180,CENTRAL PARK SOUTH,10019,American,0
51,40364518,7B BAR,2126776742,MANHATTAN,108,AVENUE B,10009,American,0
52,40364529,BEN-BEST DELI & RESTAURANT,7188971700,QUEENS,9640,QUEENS BOULEVARD,11374,Jewish/Kosher,1
53,40364531,CAFE ATELIER (ART STUDENTS LEAGUE),2122474510,MANHATTAN,215,WEST   57 STREET,10019,American,0
54,40364572,DONOHUE'S STEAK HOUSE,2127440938,MANHATTAN,845,LEXINGTON AVENUE,10065,Steak,0
55,40364576,TOUT VA BIEN,2122650190,MANHATTAN,311,WEST   51 STREET,10019,French,1
56,40364581,JUNIOR'S,7188525257,BROOKLYN,386,FLATBUSH AVENUE EXTENSION,11201,American,0
57,40364668,MARCHIS RESTAURANT,2126792494,MANHATTAN,251,EAST   31 STREET,10016,Italian,0
58,40364681,TOWNE CAFE,5162419888,BROOKLYN,2602,EAST   15 STREET,11235,American,1
59,40364691,THE GEORGIAN SUITE KITCHEN,2127341468,MANHATTAN,.1-A,EAST 77 ST,10021,Continental,0
60,40364715,OLD HOMESTEAD,2122429040,MANHATTAN,56,9 AVENUE,10011,American,1
61,40364744,NEW PARK PIZZERIA & RESTAURANT,7186413082,QUEENS,156-71,CROSSBAY BOULEVARD,11414,Pizza/Italian,0
62,40364858,DOUGLASTON CLUB,7182293900,QUEENS,600,WEST DRIVE,11363,American,0
63,40364863,SERENDIPITY 3,2128383531,MANHATTAN,225,EAST   60 STREET,10022,American,0
64,40364889,MELODY LANES,7188322695,BROOKLYN,461,37 STREET,11232,American,0
65,40364920,RIZZO'S FINE PIZZA,7187219862,QUEENS,3013,STEINWAY STREET,11103,Pizza,0
66,40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,7188229004,BRONX,2222,HAVILAND AVENUE,10462,American,0
67,40364958,WHITE HORSE TAVERN,2129893956,MANHATTAN,567,HUDSON STREET,10014,American,1
68,40365013,CRYSTAL ROOM,7184478926,STATEN ISLAND,67,OLYMPIA BOULEVARD,10305,Italian,0
69,40365022,LABETTI'S POST # 2159,7184429312,STATEN ISLAND,390,HYLAN BOULEVARD,10305,American,0
70,40365043,SHELL LANES,7183366700,BROOKLYN,1,BOUCK COURT,11223,American,0
71,40365075,MCSORLEY'S OLD ALE HOUSE,2122542570,MANHATTAN,15,EAST    7 STREET,10003,Irish,0
72,40365098,FORLINIS RESTAURANT,2123496779,MANHATTAN,93,BAXTER STREET,10013,Italian,0
73,40365120,SOUTH SHORE SWIMMING CLUB,7182274285,STATEN ISLAND,6736,HYLAN BOULEVARD,10309,American,1
74,40365166,CORNER BISTRO,2122429502,MANHATTAN,331,WEST    4 STREET,10014,American,1
75,40365226,NOSTRAND DONUT SHOP,7188263008,BROOKLYN,1449,NOSTRAND AVENUE,11226,Donuts,1
76,40365239,DORRIAN'S RED HAND RESTAURANT,2127726660,MANHATTAN,1616,2 AVENUE,10028,Irish,1
77,40365264,LA GRENOUILLE,2127521495,MANHATTAN,3,EAST   52 STREET,10022,French,0
78,40365280,COMO PIZZA,2129287867,MANHATTAN,4035,BROADWAY,10032,Pizza,0
79,40365288,KEATS RESTAURANT,2126825490,MANHATTAN,842,2 AVENUE,10017,American,1
80,40365293,ANGELO OF MULBERRY ST.,2129661277,MANHATTAN,146,MULBERRY STREET,10013,Italian,1
81,40365348,PANCHITO'S,2124735239,MANHATTAN,103,MACDOUGAL STREET,10012,Mexican,0
82,40365355,NEW CORNER,7188330800,BROOKLYN,7201,8 AVENUE,11228,Italian,0
83,40365361,THE PRINCETON CLUB,2125961272,MANHATTAN,15,WEST   43 STREET,10036,American,1
84,40365387,ARTURO'S,2126773820,MANHATTAN,106,WEST HOUSTON STREET,10012,Italian,0
85,40365472,SPAIN RESTAURANT & BAR,2129299580,MANHATTAN,113,WEST   13 STREET,10011,Spanish,1
86,40365499,YANKEE TAVERN,7182926130,BRONX,72,EAST  161 STREET,10451,American,0
87,40365525,DONUT PUB,2129290126,MANHATTAN,203,WEST   14 STREET,10011,Donuts,1
88,40365546,REBEN LUNCHEONETTE,7183887696,BROOKLYN,229,HAVEMEYER STREET,11211,American,1
89,40365577,V & T RESTAURANT,2126668051,MANHATTAN,1024,AMSTERDAM AVENUE,10025,Italian,1
90,40365627,JAHN'S RESTAURANT,7186510700,QUEENS,8104,37 AVENUE,11372,American,0
91,40365632,J&V FAMOUS PIZZA,7182322700,BROOKLYN,6322,18 AVENUE,11204,Pizza,0
92,40365644,JOE ALLEN RESTAURANT,2125816464,MANHATTAN,326,WEST   46 STREET,10036,American,1
93,40365726,BARBETTA RESTAURANT,2122469171,MANHATTAN,319321,323 W. 46TH ST.,10036,Italian,0
94,40365784,GARGIULO'S RESTAURANT,7182664891,BROOKLYN,2911,WEST   15 STREET,11224,Italian,0
95,40365789,PATSY'S ITALIAN RESTAURANT,2122473491,MANHATTAN,236,WEST   56 STREET,10019,Italian,1
96,40365841,PARKSIDE RESTAURANT,7182719871,QUEENS,10701,CORONA AVENUE,11368,Italian,0
97,40365844,LAVELLE'S ADMIRAL'S CLUB,7187212764,QUEENS,4515,BROADWAY,11103,American,0
98,40365871,NEARY'S PUB,2127511434,MANHATTAN,358,EAST   57 STREET,10022,American,0
99,40365882,NEW YORK PIZZA SUPREMA,2125948939,MANHATTAN,413,8 AVENUE,10001,Pizza,1
100,40365904,MEE SUM CAFE,2123495260,MANHATTAN,26,PELL STREET,10013,Caf̩/Coffee/Tea,1
101,40365938,NANCY'S RESTAURANT,7183434616,QUEENS,25541,JAMAICA AVENUE,11001,American,1
102,40365942,HOP KEE RESTAURANT,2129648365,MANHATTAN,21,MOTT STREET,10013,Chinese,1
103,40365968,NANCY WHISKEY PUB,2122269943,MANHATTAN,1,LISPENARD ST,10013,American,1
104,40365972,BLARNEY BAR,7186583406,QUEENS,14609,JAMAICA AVENUE,11435,American,1
105,40366002,MARGHERITA PIZZA,7186575780,QUEENS,16304,JAMAICA AVENUE,11432,Pizza,0
106,40366054,HEALY'S PUB,7184749600,QUEENS,10807,ROCKAWAY BEACH BOULEVARD,11694,American,0
107,40366109,FIFTH AVENUE BINGO,7187881691,BROOKLYN,416,5 AVENUE,11215,American,1
108,40366132,DENINO'S PIZZERIA TAVERN,7184429401,STATEN ISLAND,524,PORT RICHMOND AVENUE,10302,Pizza/Italian,1
109,40366154,MICHAEL'S RESTAURANT,7189987851,BROOKLYN,2929,AVENUE R,11229,Italian,1
110,40366162,LENIHAN'S SALOON,7188469770,QUEENS,11909,ATLANTIC AVENUE,11418,American,0
111,40366222,KILLARNEY ROSE,2124221486,MANHATTAN,80,BEAVER STREET,10005,Irish,1
112,40366230,DON PEPPE,7188457587,QUEENS,13558,LEFFERTS BOULEVARD,11420,Italian,1
113,40366356,BLARNEY CASTLE,7186344503,QUEENS,20224,ROCKAWAY POINT BOULEVARD,11697,American,1
114,40366361,THREE STAR RESTAURANT,7183364195,BROOKLYN,1611,AVENUE U,11229,American,0
115,40366379,BLARNEY ROCK,2129470825,MANHATTAN,137,WEST   33 STREET,10001,Irish,1
116,40366381,DANGERFIELD'S NIGHT CLUB,2125931650,MANHATTAN,1118,1 AVENUE,10065,American,0
117,40366396,DESMOND'S TAVERN,2126849472,MANHATTAN,433,PARK AVENUE SOUTH,10016,American,1
118,40366425,NAOMI KOSHER PIZZA,7185208754,QUEENS,6828,MAIN STREET,11367,Jewish/Kosher,0
119,40366471,ROLL-N-ROASTER,7187696000,BROOKLYN,2901,EMMONS AVENUE,11235,American,0
120,40366473,TIO PEPE,2122429338,MANHATTAN,168,WEST    4 STREET,10014,Seafood,0
121,40366487,BRENNAN & CARR,7187691254,BROOKLYN,3432,NOSTRAND AVENUE,11229,American,0
122,40366497,THE PUNCH BOWL,7188847322,BRONX,5820,BROADWAY,10463,American,0
123,40366543,JARDIN DE CHINA REST,7184763755,QUEENS,3737,JUNCTION BOULEVARD,11368,Chinese,1
124,40366549,IRISH COTTAGE,7185208530,QUEENS,10807,72 AVENUE,11375,Irish,0
125,40366574,BLARNEY STONE,2122694988,MANHATTAN,11,TRINITY PLACE,10006,Irish,0
126,40366586,SHIMONS KOSHER PIZZA,7187931491,QUEENS,7124,MAIN STREET,11367,Jewish/Kosher,0
127,40366643,THE RIVIERA CAFE,2129293250,MANHATTAN,225,WEST    4 STREET,10014,American,0
128,40366652,FASCATI'S PIZZERIA,7182371278,BROOKLYN,80,HENRY STREET,11201,Pizza/Italian,0
129,40366661,BABY BO'S CANTINA,2127792656,MANHATTAN,627,2 AVENUE,10016,Tex-Mex,1
130,40366711,LI GRECI'S STAATEN RESTAURANT,7184486000,STATEN ISLAND,697,FOREST AVENUE,10310,American,1
131,40366716,SHUN LEE PALACE RESTAURANT,2123718844,MANHATTAN,155,EAST   55 STREET,10022,Chinese,1
132,40366742,TAMAQUA,7186469212,BROOKLYN,84,EBONY COURT,11229,"Bottled beverages, including water, sodas, juices, etc.",0
133,40366748,MUNCH TIME DINER,7189927347,BRONX,21,EAST  170 STREET,10452,American,1
134,40366812,CARA MIA,7187409118,QUEENS,22020,HILLSIDE AVENUE,11427,Italian,0
135,40366833,IHOP,7183256664,BRONX,4340,BOSTON ROAD,10475,Pancakes/Waffles,0
136,40366857,MALONEY'S BAR,3472334472,QUEENS,8769,SUTPHIN BOULEVARD,11435,American,0
137,40366879,LA FUSTA RESTAURANT,7184298222,QUEENS,8032,BAXTER AVENUE,11373,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
138,40366928,RICHMOND COUNTY COUNTRY CLUB,7183510600,STATEN ISLAND,135,FLAGG PLACE,10304,American,0
139,40366929,LITTLE BROWN JUG,7188469609,QUEENS,12402,JAMAICA AVENUE,11418,American,1
140,40366938,LULU'S COFFEE SHOP,7188223568,BRONX,1191,CASTLE HILL AVENUE,10462,Caf̩/Coffee/Tea,1
141,40366961,MITCHELL'S RESTAURANT,7187893212,BROOKLYN,617A,VANDERBILT AVENUE,11238,Soul Food,1
142,40366993,FINNEGAN'S WAKE PUB,2127373664,MANHATTAN,1361,FIRST AVENUE,10021,American,0
143,40367005,DA VINCI PIZZA,7182325855,BROOKLYN,6514,18 AVENUE,11204,Pizza/Italian,1
144,40367038,MEXICO LINDO RESTAURANT,2126793665,MANHATTAN,459,2 AVENUE,10010,Mexican,0
145,40367161,MARINA DELRAY,7189316500,BRONX,2894,SCHURZ AVE,10465,American,0
146,40367164,NEW FLORIDIAN DINER,7183771895,BROOKLYN,2301,FLATBUSH AVENUE,11234,American,0
147,40367179,TWINS PUB,2126431688,MANHATTAN,421,9 AVENUE,10001,Irish,1
148,40367183,NARROWS COFFEE SHOP,7188339281,BROOKLYN,10001,4 AVENUE,11209,American,0
149,40367189,BROOME STREET BAR,2129252086,MANHATTAN,363,WEST BROADWAY,10013,American,0
150,40367232,O'HANLON'S PUB,7187289619,QUEENS,2257,31 STREET,11105,Irish,0
151,40367240,CHARLIES SPORTS BAR,7184781903,QUEENS,4408,60TH ST. - STORE,11377,Other,0
152,40367241,JG MELON RESTAURANT,2127440585,MANHATTAN,1291,3 AVENUE,10021,American,1
153,40367278,JACK'S PIZZA & PASTA,7184235484,QUEENS,21249,26 AVENUE,11360,Pizza/Italian,0
154,40367338,TAP ROOM,2127677085,MANHATTAN,180,CENTRAL PARK SOUTH,10019,American,0
155,40367339,COCKTAIL ROOM (NYAC),2127677000,MANHATTAN,180,CENTRAL PARK SOUTH,10019,American,0
156,40367365,FLAME RESTAURANT COFFEE HOUSE,2127657962,MANHATTAN,893,9 AVENUE,10019,American,0
157,40367373,JACKSON HOLE,2123717187,MANHATTAN,232,EAST   64 STREET,10065,American,0
158,40367377,ZUM STAMMTISCH,7183863014,QUEENS,6946,MYRTLE AVENUE,11385,German,1
159,40367420,GRASSROOT TAVERN,2122602876,MANHATTAN,20,ST MARKS PLACE,10003,American,1
160,40367442,BUDDY'S WONDER BAR,7184429768,STATEN ISLAND,17,HARRISON AVENUE,10302,American,1
161,40367481,THE ASSEMBLY BAR,7188219359,QUEENS,7302,COOPER AVENUE,11385,American,0
162,40367534,MR BROADWAY KOSHER RESTAURANT,2129212152,MANHATTAN,1372,BROADWAY,10018,Jewish/Kosher,0
163,40367540,PICCOLA VENEZIA,7187218470,QUEENS,4201,28 AVENUE,11103,Italian,1
164,40367570,NI-NI'S CAFE,7183519024,STATEN ISLAND,710,NEW DORP LANE,10306,Italian,0
165,40367677,CAPITOL RESTAURANT,2129425090,MANHATTAN,4933,BROADWAY,10034,American,1
166,40367715,LA BONNE SOUPE BISTRO,2125867650,MANHATTAN,48,WEST   55 STREET,10019,French,1
167,40367728,MIMIS RESTAURANT & BAR,2126884692,MANHATTAN,984,SECOND AVENUE,10022,Italian,0
168,40367749,LENNY'S CLAM BAR/NANA'S BREAKFAST,7188455100,QUEENS,16103,CROSSBAY BOULEVARD,11414,Seafood,1
169,40367752,GRIFFIS FACULTY CLUB,2127466100,MANHATTAN,521,EAST   68 STREET,10065,American,1
170,40367766,GRAY'S PAPAYA,2127990243,MANHATTAN,2080,BROADWAY,10023,Hotdogs,0
171,40367789,DANI PIZZA AND RESTAURANT,7188462849,QUEENS,8128,LEFFERTS BOULEVARD,11415,Pizza,0
172,40367790,MCDONALD'S,7186935353,BROOKLYN,943,FLATBUSH AVENUE,11226,Hamburgers,1
173,40367829,MCDONALD'S,7188451010,QUEENS,7550,101 AVENUE,11416,Hamburgers,0
174,40367841,FIORELLOS,2125955330,MANHATTAN,1900,BROADWAY,10023,Italian,0
175,40367860,LB SPUMONI GARDENS,7184491230,BROOKLYN,2725,86 STREET,11223,Pizza/Italian,0
176,40367870,AMORE PIZZERIA & RESTAURANT,7184450579,QUEENS,3027,STRATTON STREET,11354,Pizza/Italian,0
177,40367946,THE LARK'S NEST,3472028233,BRONX,4280,KATONAH AVE,10470,Irish,0
178,40368018,TERRACE CAFE,7182205069,BRONX,2300,SOUTHERN BOULEVARD,10460,Caf̩/Coffee/Tea,0
179,40368021,ZOO BREWS-BRONX ZOO,7182207937,BRONX,2300,SOUTHERN BOULEVARD,10460,American,0
180,40368022,COOL ZONE,7182205069,BRONX,2300,SOUTHERN BOULEVARD,10460,American,0
181,40368025,BEAVER/NORTHERN POND/THE PECKING ORDER,7187418295,BRONX,2300,SOUTHERN BOULEVARD,10460,American,0
182,40368026,AFRICAN MARKET (BABOON CAFE),7187418295,BRONX,2300,SOUTHERN BOULEVARD,10460,American,0
183,40368034,ROADHOUSE RESTAURANT,7184470033,STATEN ISLAND,1402,CLOVE ROAD,10301,Italian,0
184,40368157,ELEPHANT & CASTLE,2122431400,MANHATTAN,68,GREENWICH AVENUE,10011,American,0
185,40368207,MILL BASIN KOSHER DELI,7182414910,BROOKLYN,5823,AVENUE T,11234,Jewish/Kosher,0
186,40368223,OYSTER BAR,2124906650,MANHATTAN,0,GRAND CENTRAL TERMINAL,10017,Seafood,0
187,40368271,CHERRY TAVERN,2127771448,MANHATTAN,441,EAST    6 STREET,10009,American,1
188,40368291,COLONNADE DINER,7183512900,STATEN ISLAND,2001,HYLAN BOULEVARD,10306,American,1
189,40368313,RED FLAME DINER,2128693965,MANHATTAN,67,WEST   44 STREET,10036,American,0
190,40368318,MAGGIES PLACE,2127535757,MANHATTAN,21,EAST   47 STREET,10017,American,0
191,40368338,BRADY'S BAR,2128616070,MANHATTAN,1583,2 AVENUE,10028,American,0
192,40368374,JIMMY'S CORNER,2122219510,MANHATTAN,140,WEST   44 STREET,10036,American,1
193,40368526,FROST RESTAURANT,7183893347,BROOKLYN,193,FROST STREET,11211,Italian,1
194,40368552,SAMMY'S STEAKHOUSE,2126730330,MANHATTAN,155157,CHRISTIE ST.,10002,Steak,0
195,40368555,IL CORTILE RESTAURANT,2122266060,MANHATTAN,123,MULBERRY STREET,10013,Italian,0
196,40368577,DENNY'S PUB,7184352156,BROOKLYN,106,BEVERLY ROAD,11218,American,0
197,40368581,MARIES CRISIS CAFE,2122439323,MANHATTAN,59,GROVE STREET,10014,American,0
198,40368632,NEW PARKWAY RESTAURANT,7187454371,BROOKLYN,7504,13 AVENUE,11228,American,0
199,40368725,CAFE RIAZOR,2127272132,MANHATTAN,245,WEST   16 STREET,10011,Spanish,1
200,40368752,RAOULS,2129663518,MANHATTAN,180,PRINCE STREET,10012,French,0
201,40368763,THE BROOK,2127537020,MANHATTAN,111,EAST   54 STREET,10022,American,0
202,40368801,MARBELLA RESTAURANT,7184230100,QUEENS,22033,NORTHERN BOULEVARD,11361,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",0
203,40368809,P.J.' S,3472683989,QUEENS,18925,UNION TURNPIKE,11366,American,0
204,40368824,DOUBLES CLUB,2127519595,MANHATTAN,783,5 AVENUE,10022,American,1
205,40368897,HATSUHANA RESTAURANT,2123553345,MANHATTAN,17,EAST   48 STREET,10017,Japanese,1
206,40368971,LA MANGEOIRE,2127597086,MANHATTAN,1008,2 AVENUE,10022,French,1
207,40369012,VALENTINO'S PIZZA,7185916464,QUEENS,7147,KISSENA BOULEVARD,11367,Pizza/Italian,0
208,40369016,VIAND COFFEE SHOP,2127516622,MANHATTAN,673,MADISON AVENUE,10065,Greek,0
209,40369017,PALM TOO,2126975198,MANHATTAN,840,2 AVENUE,10017,American,1
210,40369051,STEVE'S COFFEE SHOP,7184456691,QUEENS,403416,2ND ST,11358,Caf̩/Coffee/Tea,0
211,40369087,BLUE BAY RESTAURANT,7188846476,BRONX,3533,JOHNSON AVENUE,10463,American,1
212,40369111,THE HYTES BAR,7187789564,BROOKLYN,1082,ST JOHNS PLACE,11213,American,0
213,40369139,PERGOLA DES ARTISTES,2123027500,MANHATTAN,252,WEST   46 STREET,10036,French,0
214,40369158,JODY'S CLUB,7187276338,STATEN ISLAND,372,FOREST AVENUE,10301,American,1
215,40369165,REIF'S TAVERN,2124260519,MANHATTAN,302,EAST   92 STREET,10128,American,1
216,40369213,WHITESTONE LANES,7183536300,QUEENS,3005,WHITESTONE EXPRESSWAY,11354,American,1
217,40369262,JOHN'S PIZZERIA,7184577561,QUEENS,8502,GRAND AVENUE,11373,Pizza,0
218,40369287,TWO STEPS DOWN,7183992020,BROOKLYN,240,DE KALB AVENUE,11205,American,0
219,40369299,SEASHORE RESTAURANT,7188850300,BRONX,591,CITY ISLAND AVE,10464,Seafood,0
220,40369418,CAFFE REGGIO,2124759557,MANHATTAN,119,MAC DOUGAL STREET,10012,Italian,1
221,40369461,CAFE UN DEUX TROIS,2123544148,MANHATTAN,123,WEST   44 STREET,10036,French,1
222,40369482,ARMANDO'S PIZZA,7186428253,BROOKLYN,1366,PENNSYLVANIA AVENUE,11239,Pizza,1
223,40369521,KNICKERBOCKER BAR & GRILL,2122288490,MANHATTAN,33,UNIVERSITY PLACE,10003,American,0
224,40369535,MCDONALD'S,7185224988,BROOKLYN,395,FLATBUSH AVENUE EXTENSION,11201,Hamburgers,0
225,40369580,EL POTE ESPANOL,2128896680,MANHATTAN,718,2 AVENUE,10016,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1
226,40369608,THE RIVER CAFE,7185225200,BROOKLYN,1,WATER STREET,11201,American,0
227,40369619,MUDVILLE SALOON,2129649464,MANHATTAN,126,CHAMBERS STREET,10007,American,0
228,40369641,JOHNNY'S REEF RESTAURANT,7188852086,BRONX,2,CITY ISLAND AVE,10464,Seafood,1
229,40369667,WHITE CASTLE,7187563377,BROOKLYN,846,EMPIRE BOULEVARD,11213,Hamburgers,0
230,40369669,WHITE CASTLE,7182314978,BRONX,2701,BOSTON POST ROAD,10467,Hamburgers,0
231,40369675,WHITE CASTLE,7187862475,QUEENS,4302,QUEENS BOULEVARD,11104,Hamburgers,0
232,40369676,WHITE CASTLE,7184387550,BROOKLYN,4202,FT HAMILTON PARKWAY,11219,Hamburgers,0
233,40369716,FERDINANDO'S RESTAURANT,7188551545,BROOKLYN,151,UNION STREET,11231,Italian,0
234,40369724,MCDONALD'S,7187938181,QUEENS,10615,71 AVENUE,11375,Hamburgers,0
235,40369759,NECTAR COFFEE SHOP,2125354115,MANHATTAN,1022,MADISON AVENUE,10075,American,0
236,40369775,THE CUPPING ROOM,2129252898,MANHATTAN,359,WEST BROADWAY,10013,American,1
237,40369782,MCDONALD'S,7187780023,BROOKLYN,701,UTICA AVENUE,11203,Hamburgers,1
238,40369810,PETE'S TAVERN,2124737676,MANHATTAN,129,EAST   18 STREET,10003,American,0
239,40369849,GINO'S PIZZERIA,7182251475,QUEENS,6132,SPRINGFIELD BOULEVARD,11364,Pizza/Italian,0
240,40369869,JIM BRADY'S RESTAURANT,2124251300,MANHATTAN,75,MAIDEN LANE,10038,Irish,1
241,40369878,VILLA MOSCONI RESTAURANT,2126730390,MANHATTAN,69,MACDOUGAL STREET,10012,Italian,1
242,40369928,REME RESTAURANT,2129235452,MANHATTAN,4021,BROADWAY,10032,American,0
243,40369940,THE NEW AMITY RESTAURANT,2128613255,MANHATTAN,1134,MADISON AVENUE,10028,American,1
244,40369954,VOLARE RESTAURANT,2127772849,MANHATTAN,147,WEST FOURTH STREET,10012,Italian,1
245,40369958,SPARKS STEAK HOUSE,2126874855,MANHATTAN,210,EAST   46 STREET,10017,Steak,0
246,40369983,THE DART INN,7182911894,QUEENS,8318,PARSONS BOULEVARD,11432,American,0
247,40370015,BAMONTE'S RESTAURANT,7183848831,BROOKLYN,32,WITHERS ST,11211,Italian,0
248,40370150,JOHN MULLIGAN'S FIRESIDE PUB,3473468001,BRONX,4272,KATONAH AVENUE,10470,American,1
249,40370167,BURGER KING,7182251695,QUEENS,22210,NORTHERN BOULEVARD,11361,Hamburgers,1
250,40370168,EAR INN,2122269060,MANHATTAN,326,SPRING STREET,10013,American,1
